caption,channelTitle,commentCount,defaultLanguage,definition,dislikeCount,duration,favoriteCount,licensedContent,likeCount,publishedAt,regionRestriction,title,vidId,viewCount,request_token,letter_search,contentRating,year,month,month_day,year_day,week_day,view_log,comment_log,like_log,dislike_log,view_class,week,description_sentiment,description_wordcount,tags_sentiment,tags_wordcount,title_sentiment,title_wordcount,title_featuring,title_length,lv_ratio,comment_view_ratio,like_dislike_ratio,is_weekend,is_friday,alt_words,blues_words,christian_words,classical_words,country_words,dubstep_words,edm_words,extended_words,folk_words,halloween_words,hit_words,italian_words,jazz_words,kpop_words,latin_words,love_songs,other_rock_words,pop_words,rap_words,remix_words,reggae_words,romanian_words,relax_words,rock_words,trap_words,like_baseline_delta,comment_baseline_delta,dislike_baseline_delta,ld_baseline_delta,k_class,db_class
0,officialpsy,376593,xxNoneFoundxx,1,467588,227,0,1,2062598,2012-08-14 15:00:06,0,PSY (ft. HYUNA) - 오빤 딱 내 스타일 M/V,wcLNteez3c4,726839417,CPoBEAA,m,0,12,8,14,227,1,8.861438471362208,5.575872243217484,6.314414592299838,5.669863357064961,8,33,0.13333333333333333,156,0.0,21,0.0,8,1,32,0.7125721870897521,0.6292287940876876,1.1136802061431923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5837559999775142,1.1219491951267613,1.3537155310220497,1.9476331607173087,0,26
0,BIGBANG,261465,xxNoneFoundxx,1,108301,240,0,1,2280813,2012-03-06 15:00:01,0,BIGBANG - FANTASTIC BABY M/V,AAbokV76tkU,364830086,CKwCEAA,b,0,12,3,6,66,1,8.562090645569237,5.417413561944453,6.358089679666264,5.034632466712826,8,10,0.275,14,0.2,31,0.4,4,0,28,0.7425861209442447,0.6327208839756783,1.2628706706405404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3649594781447247,1.3315110194987556,0.30317543354102583,-0.0681370124173604,0,26
0,2NE1,210374,xxNoneFoundxx,1,62166,215,0,1,1411023,2011-06-28 00:59:14,0,2NE1 - 내가 제일 잘 나가(I AM THE BEST) M/V,j7_lSP8Vc3o,219023562,CPoBEAA,m,0,11,6,28,179,1,8.340490837653594,5.32299206459641,6.1495340929121625,4.793552924086593,8,26,0.36571428571428577,14,0.2,20,1.0,9,0,36,0.7373108145086329,0.6382108880889212,1.282876019165669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.343046946244252,1.5386614082703969,0.2264641972075649,-0.1225542783120568,0,23
1,BTS BEING BTS,65067,ko,1,33969,234,0,0,1238136,2017-09-21 12:41:46,1,BTS (방탄소년단) - Go Go (고민보다 Go) (FIRST EVER BTS COMEBACK SHOW),8YpVt43Aqvk,107069817,CN4CEAA,v,0,17,9,21,264,3,8.029667060394964,4.813360783474583,6.092768351312166,4.5310827620341625,8,38,0.3125,29,0.2556818181818182,30,0.25,11,0,60,0.7587821892845049,0.5994471187000652,1.3446605748108005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1.02112532071859,0.9717415586430308,0.35034716810825844,-0.6885532117188591,0,23
0,BIGBANG,27513,xxNoneFoundxx,1,11131,338,0,1,602076,2013-11-13 11:08:04,0,G-DRAGON - 니가 뭔데(WHO YOU?) M/V,doFK7Eanm3I,101891506,CPoBEAA,g,0,13,11,13,317,2,8.008137981346131,4.439537948165413,5.779651315672012,4.046534182750969,8,46,0.43333333333333335,17,0.12,43,0.0,5,0,30,0.7217222441889642,0.55437830348412,1.4282966743018617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.13853216375094934,0.16290424093060413,-1.0676089758288447,-1.208552613812332,0,23
0,BIGBANG,50188,xxNoneFoundxx,1,12235,215,0,1,574632,2012-08-31 14:59:02,0,G-DRAGON - THAT XX (그 XX) M/V,j57IzkTFnT8,72499758,CGQQAA,g,0,12,8,31,244,4,7.860336556923545,4.7005998893208245,5.759389807239735,4.087603973687808,7,35,0.1723665223665224,61,0.3,17,0.0,6,0,29,0.7327154207114385,0.5980150920103338,1.4089891888532566,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.48120675406246105,1.0377097147791443,-0.5013091367475424,-0.9908924125976168,0,26
0,2NE1,52710,xxNoneFoundxx,1,10876,211,0,1,409839,2011-05-11 13:53:01,0,2NE1 - LONELY M/V,5n4V3lGEyG4,68850410,CPoBEAA,m,0,11,5,11,131,2,7.837906530797842,4.721893016214957,5.612613283198629,4.036469198915462,7,19,0.10476190476190478,10,-0.09999999999999998,14,-0.09999999999999998,3,0,17,0.7160857636085263,0.6024431393333166,1.3904759349350797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.10117365862994547,1.1288096812264534,-0.590845230135568,-0.693780051402346,0,23
0,BIGBANG,59166,xxNoneFoundxx,1,17978,225,0,1,598625,2012-09-16 15:00:21,0,G-DRAGON - CRAYON(크레용) M/V,t3ULhmadHkg,60947499,CMgBEAA,g,0,12,9,16,260,6,7.784955888907893,4.7720722091849295,5.777154850050664,4.254741376091537,7,37,0.5,18,0.3,16,0.0,3,0,26,0.7420921752789928,0.6129864160160806,1.3578157493928895,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7404534936733239,1.343670626773979,0.23468367330550105,-0.5186591340985776,0,26
0,BIGBANG,71625,xxNoneFoundxx,1,19085,209,0,1,451878,2012-08-24 15:00:14,0,G-DRAGON - ONE OF A KIND M/V,rJnICByeL8Q,51203792,CPoBEAA,g,0,12,8,24,237,4,7.709302124719848,4.855064634975446,5.6550211979119025,4.280692164285117,7,34,0.45,11,0.3666666666666667,23,0.6,6,0,28,0.7335321805302063,0.6297670731320413,1.3210529935072546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5798429160961893,1.6763401692468245,0.5396266041738454,-0.050309825321872656,0,26
0,starshipTV,11654,xxNoneFoundxx,1,5125,219,0,1,146757,2012-06-27 14:55:15,0,SISTAR (씨스타) - Loving U (Music Video) HD,oL2AlXWVbKU,35630940,CMgBEAA,u,0,12,6,27,179,2,7.5518272798707455,4.066475013754132,5.166598825346363,3.709693869727792,7,26,0.3519209956709956,380,0.0,53,0.6,7,0,40,0.6841521440933688,0.5384756381535956,1.392729159542611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.4585856514027068,0.18337142199817053,-0.7374366704099375,-0.27086827007856257,0,23
0,BIGBANG,31910,xxNoneFoundxx,1,8517,202,0,1,350010,2013-09-02 02:59:15,0,G-DRAGON - COUP D'ETAT M/V,C8T6771Sdj8,29739555,CKwCEAA,d,0,13,9,2,245,0,7.473334465783435,4.503926804193512,5.544080452586786,3.9302866472455196,7,36,0.3,16,0.15,38,0.0,4,0,26,0.7418482978341576,0.6026662963921501,1.4106046072930247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.8906409735719553,1.3272421083196742,0.17134535734075373,-0.7347992920567864,0,23
0,Stone Music Entertainment,13940,xxNoneFoundxx,1,3413,220,0,1,302023,2016-04-10 15:00:01,0,블락비 (Block B) - Toy MV,JtjxZoa_LHM,26456658,CJYBEAA,b,0,16,4,10,101,6,7.422534983319897,4.144262773761992,5.480040017105282,3.5331362882786386,7,14,0.5681818181818181,164,0.0,40,0.0,5,0,22,0.7382976340859507,0.5583352295509662,1.5510412194643033,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0.8368189036995904,0.6063063966787057,-0.8920048818502955,-1.7433905631770676,0,-1
0,officialpsy,12632,xxNoneFoundxx,0,9528,433,0,1,89081,2012-10-17 11:32:19,0,PSY - Performs on 'The X-Factor Australia',t7haawDNiNw,21692343,CN4CEAA,x,0,12,10,17,291,2,7.336306462895521,4.101472117000238,4.9497850836655966,3.979001748474721,7,42,0.5,52,0.0,15,0.0,6,0,42,0.6746971529474515,0.5590649924105616,1.2439766043236866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5219256383540628,0.6731599013031864,0.7289094949627394,1.2599204619084667,0,26
0,NickyJamTV,96298,xxNoneFoundxx,1,179937,227,0,1,3200241,2015-03-23 16:58:31,0,21. El Perdón - Nicky Jam y Enrique Iglesias  [Official Music Video YTMAs],hXI8RQYC36Q,1171536931,CDIQAA,y,0,15,3,23,82,0,9.068755983651466,4.983617267415464,6.505182684891483,5.255120475427893,9,13,0.3181818181818182,100,0.5,23,0.0,13,0,74,0.7173180860328121,0.5495370342304488,1.237875081134425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.5763216526248233,-0.6190466193881815,-0.5330313814940881,0.05332248875679359,0,22
0,Daddy Yankee,226816,es-419,1,471710,218,0,1,5214023,2018-01-18 22:32:49,0,Daddy Yankee | Dura (Video Oficial) #DaddyYankee,sGIm0-dQd8M,1100036117,CGQQAA,v,0,18,1,18,18,3,9.041406944391227,5.355673687198901,6.71717294258817,5.673675083154298,9,3,0.3125,471,-0.4555555555555555,28,0.0,6,0,48,0.7429344773332119,0.5923495889675946,1.1839192135855858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.13570345059391845,0.2788112290183547,0.8287929550131364,0.6907272705125691,0,-1
0,Ozuna,124558,xxNoneFoundxx,1,353726,302,0,1,3061797,2018-01-30 15:00:05,0,Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial),wfWkmURBNv8,1005052272,CGQQAA,x,0,18,1,30,30,1,9.002188649667755,5.095371626246503,6.485976393187075,5.548666983030846,9,5,-0.4,25,-0.6999999999999998,14,0.0,9,0,58,0.7204888328380512,0.5660147575817085,1.1689251513963164,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.4522945222821482,-0.2382875873034077,0.5633465990921915,1.023514358581276,1,20
0,Zion & Lennox,65101,xxNoneFoundxx,1,124134,213,0,0,1883438,2016-08-05 15:00:01,0,Zion & Lennox  Ft. J Balvin - Otra Vez | Video Oficial,6R5i6wQCOCQ,836168937,CGQQAA,j,0,16,8,5,218,4,8.922294029825173,4.813587659707154,6.274951328441032,5.093890749991981,8,31,0.0,26,0.0,28,0.0,12,1,54,0.7032890092464245,0.5395011242194484,1.2318582467539003,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.8685754237162987,-0.7267969107155088,-0.5895225738436423,0.2941724235268535,0,22
0,Ozuna,116616,xxNoneFoundxx,1,202787,268,0,1,2714697,2017-11-09 01:14:00,0,Ozuna - Síguelo Bailando (Video Oficial),Dvpd9_5vuks,831865204,CPoBEAA,q,0,17,11,9,313,3,8.92005295862035,5.0667581407746125,6.4337213629961365,5.3070401103791065,8,45,-0.4,25,-0.6999999999999998,13,0.0,5,0,40,0.721264928901412,0.5680188407265107,1.2122993663480237,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.3851164940126451,-0.1469953499460762,0.06914430527981315,0.4609646468083791,1,20
1,jbalvinVEVO,84772,xxNoneFoundxx,1,146036,205,0,1,2534202,2016-09-02 07:00:00,0,"J Balvin - Safari ft. Pharrell Williams, BIA, Sky",JWESLtAKKlU,731899289,CGQQAA,j,0,16,9,2,246,4,8.864451325265128,4.928252429455736,6.40384122932757,5.164459928894791,8,35,0.0,10,-0.0625,29,0.0,8,1,49,0.7224182292112746,0.5559568492873793,1.2399827508581347,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.32312331903796193,-0.35602833649915777,-0.20120437965567667,0.127543651627399,0,22
0,Hear This Music,135727,xxNoneFoundxx,1,224559,320,0,1,2844400,2017-11-03 04:00:11,0,Sensualidad - Bad Bunny X Prince Royce X J Balvin,ovX1HloCgdA,656339944,CPoBEAA,x,0,17,11,3,307,4,8.817128835661617,5.13266624990454,6.45399066996823,5.351330465642374,8,44,-0.6999999999999998,17,-0.6124999999999999,31,-0.6999999999999998,9,0,49,0.7319832555768633,0.5821244472628141,1.2060534686477251,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,-0.04312984198259248,0.19874344535137947,0.5114921059411687,0.5553727230490335,0,38
