,Artist_Song,song_url
49,"
      Bruno Mars - The Lazy Song [OFFICIAL VIDEO]
    ",https://www.youtube.com/watch?v=fLexgOxsZu0&index=51&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
50,"
      Dua Lipa - New Rules (Official Music Video)
    ",https://www.youtube.com/watch?v=k2qgadSvNyU&index=52&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
51,"
      Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma
    ",https://www.youtube.com/watch?v=iOe6dI2JhgU&index=53&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
52,"
      Drake - Hotline Bling
    ",https://www.youtube.com/watch?v=uxpDa-c-4Mc&index=54&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
53,"
      Maluma - Felices los 4 (Official Video)
    ",https://www.youtube.com/watch?v=t_jHrUE5IOk&index=55&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
54,"
      Justin Bieber - Love Yourself  (PURPOSE : The Movement)
    ",https://www.youtube.com/watch?v=oyEuk8j8imI&index=56&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
55,"
      The Weeknd - Starboy (official) ft. Daft Punk
    ",https://www.youtube.com/watch?v=34Na4j8AVgA&index=57&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
56,"
      Crazy Frog - Axel F
    ",https://www.youtube.com/watch?v=k85mRPqvMbE&index=58&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
57,"
      Ed Sheeran - Perfect (Official Music Video)
    ",https://www.youtube.com/watch?v=2Vv-BfVoq4g&index=59&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
58,"
      Ariana Grande - Side To Side ft. Nicki Minaj
    ",https://www.youtube.com/watch?v=SXiSVQZLje8&index=60&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
59,"
      Adele - Rolling in the Deep
    ",https://www.youtube.com/watch?v=rYEDA3JcQqw&index=61&list=PLirAqAtl_h2r5g8xGajEwdXd3x1sZh8hC&t=0s
